num_ants,num_iterations,pheromone_decay,alpha,beta,avg_fitness,avg_max_fitness,avg_min_fitness,avg_fitness_percentage,avg_unscheduled_surgeries,avg_remaining_room_time,avg_remaining_surgeon_time
30,10,0.5,5,2,185.0,192.0,180.0,92.55609460278956,2.0,950.6,3350.6
30,10,0.5,5,4,188.2,194.0,183.0,93.23529411764706,1.6,907.8,3307.8
30,10,0.5,5,6,184.8,192.0,180.0,93.37780473013947,1.8,915.6,3315.6
30,20,0.1,1,2,190.6,195.0,186.0,94.41176470588235,1.6,860.6,3260.6
30,20,0.1,1,4,192.6,198.0,186.0,94.41176470588235,1.8,878.6,3278.6
30,20,0.1,1,6,190.0,195.0,182.0,94.05700424499696,1.8,889.6,3289.6
30,20,0.1,3,2,191.2,198.0,186.0,94.70588235294119,1.4,866.2,3266.2
30,20,0.1,3,4,189.0,192.0,186.0,92.64705882352942,1.8,926.6,3326.6
30,20,0.1,3,6,188.4,198.0,183.0,92.35294117647058,2.2,884.6,3284.6
30,20,0.1,5,2,191.4,201.0,186.0,93.82352941176471,2.0,870.0,3270.0
30,20,0.1,5,4,190.6,198.0,186.0,94.38144329896906,1.6,819.8,3219.8
30,20,0.1,5,6,190.0,194.0,186.0,94.11764705882354,1.8,899.2,3299.2
30,20,0.3,1,2,191.4,198.0,186.0,93.82352941176472,1.8,885.0,3285.0
30,20,0.3,1,4,190.2,195.0,186.0,93.23529411764704,2.2,911.0,3311.0
30,20,0.3,1,6,190.6,198.0,186.0,94.39660400242572,1.4,918.0,3318.0
30,20,0.3,3,2,187.8,192.0,183.0,92.05882352941175,2.2,954.0,3354.0
30,20,0.3,3,4,188.4,192.0,186.0,92.35294117647058,2.0,937.6,3337.6
30,20,0.3,3,6,184.2,188.0,182.0,93.08368708308065,1.8,964.2,3364.2
30,20,0.3,5,2,191.4,201.0,186.0,93.82352941176471,1.8,856.0,3256.0
30,20,0.3,5,4,189.4,192.0,186.0,93.79320800485144,1.6,887.4,3287.4
30,20,0.3,5,6,191.4,195.0,186.0,93.82352941176471,2.2,887.6,3287.6
30,20,0.5,1,2,189.2,198.0,185.0,94.63007883565798,1.6,848.2,3248.2
30,20,0.5,1,4,192.6,198.0,189.0,94.41176470588236,1.8,856.6,3256.6
30,20,0.5,1,6,191.4,195.0,186.0,93.82352941176471,1.6,881.2,3281.2
30,20,0.5,3,2,187.6,192.0,183.0,92.91085506367494,2.0,918.8,3318.8
30,20,0.5,3,4,188.0,191.0,186.0,94.0721649484536,1.6,904.8,3304.8
30,20,0.5,3,6,190.0,192.0,188.0,94.08732565191023,1.8,896.8,3296.8
30,20,0.5,5,2,187.0,192.0,180.0,92.61673741661612,2.0,912.6,3312.6
30,20,0.5,5,4,188.8,194.0,186.0,96.37962401455427,1.0,830.8,3230.8
30,20,0.5,5,6,190.4,198.0,186.0,95.23347483323226,1.6,893.2,3293.2
30,30,0.1,1,2,190.0,192.0,188.0,94.08732565191023,1.8,899.8,3299.8
30,30,0.1,1,4,191.2,198.0,186.0,94.6755609460279,1.6,852.2,3252.2
30,30,0.1,1,6,187.8,189.0,186.0,94.90903577926015,1.4,879.8,3279.8
30,30,0.1,3,2,191.4,198.0,186.0,93.82352941176471,1.8,860.2,3260.2
30,30,0.1,3,4,188.8,192.0,186.0,93.51425106124925,1.6,905.8,3305.8
30,30,0.1,3,6,186.4,192.0,180.0,92.32261976955729,1.6,972.0,3372.0
30,30,0.1,5,2,187.6,192.0,183.0,92.8956943602183,1.8,917.0,3317.0
30,30,0.1,5,4,190.6,198.0,186.0,94.39660400242573,1.6,912.4,3312.4
30,30,0.1,5,6,193.2,198.0,189.0,94.70588235294119,1.6,836.0,3236.0
30,30,0.3,1,2,186.8,189.0,185.0,93.4536082474227,2.2,900.2,3300.2
30,30,0.3,1,4,191.4,198.0,186.0,93.82352941176471,1.6,872.4,3272.4
30,30,0.3,1,6,187.6,192.0,186.0,92.91085506367496,1.6,922.8,3322.8
30,30,0.3,3,2,191.4,198.0,186.0,93.82352941176471,1.6,833.4,3233.4
30,30,0.3,3,4,195.0,204.0,189.0,95.58823529411765,1.0,778.0,3178.0
30,30,0.3,3,6,189.0,192.0,186.0,92.64705882352942,1.8,941.0,3341.0
30,30,0.3,5,2,190.2,195.0,186.0,93.23529411764706,2.0,908.8,3308.8
30,30,0.3,5,4,192.0,198.0,186.0,94.11764705882354,1.6,893.2,3293.2
30,30,0.3,5,6,189.4,192.0,186.0,93.79320800485142,1.6,928.0,3328.0
30,30,0.5,1,2,190.2,195.0,186.0,93.23529411764704,2.4,903.8,3303.8
30,30,0.5,1,4,191.2,198.0,186.0,94.6755609460279,1.2,878.0,3278.0
30,30,0.5,1,6,189.6,192.0,186.0,92.94117647058823,1.8,890.0,3290.0
30,30,0.5,3,2,193.0,195.0,191.0,95.57307459066101,1.4,833.4,3233.4
30,30,0.5,3,4,192.0,198.0,186.0,94.11764705882354,1.8,897.4,3297.4
30,30,0.5,3,6,189.6,192.0,186.0,92.94117647058825,2.0,939.2,3339.2
30,30,0.5,5,2,191.2,198.0,186.0,94.69072164948454,1.6,859.8,3259.8
30,30,0.5,5,4,190.8,195.0,186.0,93.52941176470588,2.0,931.8,3331.8
30,30,0.5,5,6,188.8,195.0,186.0,93.4990903577926,2.0,931.0,3331.0
